natx =       21
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.00000      0.00000     -5.31338   1      5.31338
      0.00000      0.00000      5.31338   1      5.31338
      0.00000     -6.51161     -0.99309   3      6.58690
      0.00000      6.51161      0.99309   3      6.58690
     -5.63923     -3.25582      0.99309   3      6.58692
     -5.63923      3.25582     -0.99309   3      6.58692
      5.63923     -3.25582      0.99309   3      6.58692
      5.63923      3.25582     -0.99309   3      6.58692
      0.00000     -6.51161     -2.65652   2      7.03265
      0.00000      6.51161      2.65652   2      7.03265
     -5.63923     -3.25582      2.65652   2      7.03267
     -5.63923      3.25582     -2.65652   2      7.03267
      5.63923     -3.25582      2.65652   2      7.03267
      5.63923      3.25582     -2.65652   2      7.03267
      0.00000     -6.51161     -4.31983   3      7.81422
      0.00000      6.51161      4.31983   3      7.81422
     -5.63923     -3.25582      4.31983   3      7.81423
     -5.63923      3.25582     -4.31983   3      7.81423
      5.63923     -3.25582      4.31983   3      7.81423
      5.63923      3.25582     -4.31983   3      7.81423
